Category,Phrase,random,,Key
au,"takes their father's car out after curfew, against his wishes","Given this information, how likely is it that __",,au = Authority
au,talks loudly in class while the instructor is teaching,,,fa = Fairness
au,talks loudly and interrupts the mayor's speech to the public,,,sa = Sanctity
au,"sends out an email to other employees at his company, calling their company president an ""idiot""","modified from ""low-level company employee sends out [...] to other low-level employees""",,ca = Care
au,tries to undermine all of their boss's ideas in front of others,,,lo = Loyalty
au,has a long and loud conversation with a group of friends during a religious service,,,li = Liberty
au,disobeys their boss; nothing bad happens as a result of their disobedience,"Modified from ""soldier""",,po = Politeness
fa,skips to the front of the line because their friend is an employee,,,
fa,pretends to be seriously fouled by an opposing player during a local game,,,
fa,bribes their landlord to be the first to get their apartment repainted,,,
fa,edges out another person in a long line,,,
fa,takes a shortcut on the course during the marathon in order to win,,,
fa,"hires their nephew for a job, instead of a more qualified applicant",,,
fa,"requires all employees to split their bonuses evenly, even though some earn larger bonuses than others","Modified from ""restaurant/server"" scenario",,
sa,eats the flesh of a deceased relative as part of a group funeral rite,,,
sa,searches through the trash to find women's discarded underwear,"may need to change ""women"" if the gender is changed",,
sa,writes erotic poetry about their pet cat,,,
sa,marries their first cousin in an elaborate wedding,,,
sa,"takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage",,,
sa,looks at pornography in which an 18-year-old model has been digitally altered to look like she is 13,,,
sa,offers to have oral sex with anyone in the bar while drunk,Modified from being a drunk elderly person to just being drunk,,
ca,shoots geese repeatedly with a pellet gun out in the woods,,,
ca,spanks their child with a spatula for getting bad grades in school,,,
ca,makes fun of their brother for getting dumped by his girlfriend,,,
ca,tells a boy that his older brother is much more attractive than him,,,
ca,is driving along an empty road and sees a man who is clearly injured; they do not stop to help him,,,
ca,laughs when they realize their friend's dad is a janitor,,,
ca,tells a woman that her painting looks like it was done by children,,,
lo,jokes about the stupidity of people from their home country,,,
lo,shares a secret that their best friend entrusted to them; the secret is not damaging or embarrassing in any way and the friend never finds out that their secret has been shared,,,
lo,leaves their family business to go work for their main competitor,,,
lo,"gets a job in a foreign nation where their home country is viewed fairly negatively; in order to fit in among their coworkers, __ makes critical comments about their home country, though __ does not believe them",Fill in __ (2 underscores) with the name!,,
lo,cheats on their spouse with an ex-lover; the spouse does not find out about the infidelity,,,
lo,"sells government secrets from their nation to another country; the information is classified, though the sale will not have any negative consequences for people in their home nation",,,
lo,celebrates with an opposing team's players who just won a game,Modified from being a coach to just being someone (presumably on the team),,
li,tells their fiance that she has to switch to their political party,Fiance is gendered here,,
li,pressures their daughter to become a famous evening news anchor,,,
li,forces their daughter to enroll as a pre-med student in college,,,
li,tells their romantic partner that they must convert to their religion,"Also, use of ""they"" is a bit ambiguous","**TODO add __ with names, parse in script",
li,is the leader of a club and tries to ban the wearing of hooded sweatshirts to club meetings,,,
li,imposes a curfew on all members of their immediate family,Modified from a mayor imposing on residents,,
li,is the leader of a club and bans members from wearing bright colors during club meetings,Modified from religious leader and congregants,,
po,eats a T-bone steak with their hands in a fancy restaurant,,,
po,tries to change the subject of conversation in the middle of their friend's sentence,,,
po,plays music through their headphones so loudly that other passengers can hear it while on a bus,,,
po,walks away while their conversation partner is still speaking,,,
po,"bumps into someone on the street while in a rush but does not say ""excuse me""",Modified from a college student specific response,,
po,goes to a birthday party for their friend but does not bring a gift,,,
po,ignores their personal hygiene and mental health in order to devote more time to their career,,,
