premise,y,answer,std,n_premises,model_prediction
au,au,3.727272727272727,1.9540168418367887,1,1.0000000000000002
au,ca,5.090909090909091,1.513574937328539,1,0.38125479422730446
au,fa,4.909090909090909,1.1361818036340359,1,0.38125479422730446
au,li,4.363636363636363,1.689540012709215,1,0.17649446099505867
au,lo,4.636363636363637,1.9632996344280855,1,0.38125479422730446
au,po,5.545454545454546,1.3684762594679063,1,0.38125479422730446
au,sa,2.909090909090909,2.119176512447486,1,0.17649446099505867
fa,au,4.7272727272727275,1.9084143822937025,1,0.38125479422730446
fa,ca,3.3636363636363638,1.6922282244532987,1,0.38125479422730446
fa,fa,4.121212121212121,1.7634762501515253,1,1.0000000000000002
fa,li,3.1818181818181817,1.6289288170172112,1,0.17649446099505867
fa,lo,3.1515151515151514,1.660595001069122,1,0.38125479422730446
fa,po,4.303030303030303,1.758636696507562,1,0.38125479422730446
fa,sa,2.090909090909091,1.307756580074164,1,0.17649446099505867
li1,au,3.436974789915966,1.7105785296614495,1,0.2221218176103453
li1,ca,3.5126050420168067,1.877004222467494,1,0.2221218176103453
li1,fa,3.8151260504201683,1.7171437979853905,1,0.2221218176103453
li1,li,4.1344537815126055,1.8952410058626785,1,1.0
li1,lo,3.453781512605042,1.681141153793266,1,0.2221218176103453
li1,po,3.19327731092437,1.7087874128887257,1,0.2221218176103453
li1,sa,2.689075630252101,1.8074605237954848,1,0.2213753311481299
lo,au,4.09375,1.5731491941633424,1,0.38125479422730446
lo,ca,2.5625,1.7215428189328765,1,0.38125479422730446
lo,fa,4.40625,2.0138131860694273,1,0.38125479422730446
lo,li,2.96875,1.655574649284906,1,0.17649446099505867
lo,lo,3.28125,1.5289544181901649,1,1.0000000000000002
lo,po,4.15625,1.9362313744704873,1,0.38125479422730446
lo,sa,1.8125,1.20315445607008,1,0.17649446099505867
po,au,4.2444444444444445,1.5976624338467915,1,0.38125479422730446
po,ca,3.7777777777777777,1.8572816020988712,1,0.38125479422730446
po,fa,4.511111111111111,1.7532077383291957,1,0.38125479422730446
po,li,4.022222222222222,1.725331178866155,1,0.17649446099505867
po,lo,3.888888888888889,1.7865942997555968,1,0.38125479422730446
po,po,3.9555555555555557,1.6508338878435118,1,1.0000000000000002
po,sa,2.311111111111111,1.3951575704789214,1,0.17649446099505867
sa1,au,3.2892561983471076,1.675500007604325,1,0.2221218176103453
sa1,ca,3.2975206611570247,1.796499504124496,1,0.2221218176103453
sa1,fa,3.6363636363636362,1.6583123951776997,1,0.2221218176103453
sa1,li,3.041322314049587,1.6603046618762274,1,0.2213753311481299
sa1,lo,3.6859504132231407,1.7560991707533666,1,0.2221218176103453
sa1,po,3.8595041322314048,1.9421027484145756,1,0.2221218176103453
sa1,sa,3.2644628099173554,1.8919504708163049,1,1.0
au_fa_po,au,6.090909090909091,0.8312094145936334,3,1.0
au_fa_po,ca,5.090909090909091,1.5782614139961384,3,1.0
au_fa_po,fa,3.8181818181818183,2.088931871468374,3,1.0
au_fa_po,li,5.2727272727272725,1.009049958219026,3,0.3864404284294601
au_fa_po,lo,5.7272727272727275,1.3483997249264843,3,1.0
au_fa_po,po,6.181818181818182,1.1677484162422844,3,1.0
au_fa_po,sa,3.272727272727273,2.2401298663653,3,0.3864404284294601
au_lo_ca,au,5.636363636363637,1.026910636104941,3,1.0
au_lo_ca,ca,4.2727272727272725,1.7372915179041826,3,1.0
au_lo_ca,fa,5.363636363636363,1.689540012709215,3,1.0
au_lo_ca,li,4.454545454545454,1.8635254955935732,3,0.3864404284294601
au_lo_ca,lo,4.636363636363637,1.433368568981982,3,1.0
au_lo_ca,po,3.272727272727273,1.3483997249264843,3,1.0
au_lo_ca,sa,2.5454545454545454,1.2933395813657265,3,0.3864404284294601
au_po_fa,au,3.6666666666666665,1.5275252316519465,3,1.0
au_po_fa,ca,6.666666666666667,0.5773502691896257,3,1.0
au_po_fa,fa,5.666666666666667,1.1547005383792515,3,1.0
au_po_fa,li,4.0,1.7320508075688772,3,0.3864404284294601
au_po_fa,lo,6.0,1.7320508075688772,3,1.0
au_po_fa,po,6.666666666666667,0.5773502691896257,3,1.0
au_po_fa,sa,3.0,1.7320508075688772,3,0.3864404284294601
ca3,au,5.026315789473684,1.5331797395602411,3,0.0577705865363241
ca3,ca,5.184210526315789,1.9844702902435136,3,1.0
ca3,fa,4.868421052631579,1.757932640710257,3,0.0577705865363241
ca3,li,4.421052631578948,1.7802456397069453,3,0.023154735516379785
ca3,lo,4.947368421052632,1.7850333999608572,3,0.0577705865363241
