explanations,type,optional,name,block_order,item_order,showif,label,choice1,choice2
,get PROLIFIC_PID,,code,,,,,,
,block,,block,,,"is.na(code) || code == """"",You have to come here through Prolific.,,
,note,,consent,,,,"You are being invited to participate in a research study about human reasoning. This study is being conducted by Alan Jern, Ph.D., from the Department of Humanities, Social Sciences, and the Arts at Rose-Hulman Institute of Technology. There are no known risks or costs if you decide to participate in thisresearch study. In this study, you will be asked to answer a few questions or make some judgments. There are no right or wrong answers. We are only interested in whether people tend to give similar answers. The information collected may not benefit you directly, but the information learned in this study could help usto better understand how people think and reason. The data from this study will be shared publicly, but your responses will be anonymized so that they cannot be linked to your identity. Your participation in this study is voluntary and you may leave at any time. By completing the survey, you are voluntarily agreeing to participate. If you have any questions about the study, please contact Alan Jern at jern@rose-hulman.edu. If you have any questions about your rights as a research subject or if you feel you've been placed at risk, you may contact the Institutional Reviewer, Daniel Morris, by phone at (812) 877-8314, or by e-mail at morris@rose-hulman.edu. ",,
,submit,,consent_submit,,,,Acknowledge Consent & Proceed,,
,note,,instructions_1,,,,## Instructions,,
,note,,instructions_2,,,,"On each page of this study, you will learn about something a person has done previously. Your task is to rate how likely you think it is that the same person will do different things in the future, given what you know about their past behavior.",,
,note,,instructions_3,,,,There are no right or wrong answers. We only want to know whether people give similar answers.,,
,submit,,instructions_submit,,,,Continue to Experiment,,
,"random 1,10.0",,condition,,,,,,
,note,,prompt_po31,po3,1,condition == 1,"Steven has done the following: 
- tries to change the subject of conversation in the middle of his friend's sentence
- ignores his personal hygiene and mental health in order to devote more time to his career
- plays music through his headphones so loudly that other passengers can hear it while on a bus

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Steven:",,
,"rating_button 1,7,1",,po3li1,po3,2,condition == 1,...is the leader of a club and bans members from wearing bright colors during club meetings?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,po3ca1,po3,2,condition == 1,...spanks his child with a spatula for getting bad grades in school?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,po3lo1,po3,2,condition == 1,...celebrates with the opposing team's players who just won the game?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,po3fa1,po3,2,condition == 1,...skips to the front of the line because his friend is an employee?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,po3au1,po3,2,condition == 1,"...takes his father's car out after curfew, against his father's wishes?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,po3sa1,po3,2,condition == 1,...writes erotic poetry about his pet cat?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,po3po1,po3,2,condition == 1,...eats a T-bone steak with his hands in a fancy restaurant?,Very Unlikely,Very Likely
,submit,,p1_submit_1,,,,Next Question,,
,note,,prompt_pd31,pd3,1,condition == 1,"Maria has done the following: 
- shoots geese repeatedly with a pellet gun out in the woods
- pretends to be seriously fouled by an opposing player during a local game
- celebrates with the opposing team's players who just won the game

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Maria:",,
,"rating_button 1,7,1",,pd3li1,pd3,2,condition == 1,...is the leader of a club and bans members from wearing bright colors during club meetings?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3lo1,pd3,2,condition == 1,"...sells government secrets from her nation to another country; the information is classified, though the sale will not have any negative consequences for people in their home nation?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3sa1,pd3,2,condition == 1,...marries her first cousin in an elaborate wedding?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3fa1,pd3,2,condition == 1,"...hires her nephew for a job, instead of a more qualified applicant?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3ca1,pd3,2,condition == 1,...laughs when she realizes her friend's dad is a janitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3po1,pd3,2,condition == 1,...tries to change the subject of conversation in the middle of her friend's sentence?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3au1,pd3,2,condition == 1,...has a long and loud conversation with a group of friends during a religious service?,Very Unlikely,Very Likely
,submit,,p2_submit_1,,,,Next Question,,
,note,,prompt_sa31,sa3,1,condition == 1,"James has done the following: 
- writes erotic poetry about his pet cat
- offers to have oral sex with anyone in the bar while drunk
- takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that James:",,
,"rating_button 1,7,1",,sa3fa1,sa3,2,condition == 1,"...hires his nephew for a job, instead of a more qualified applicant?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3lo1,sa3,2,condition == 1,...leaves his family business to go work for their main competitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3li1,sa3,2,condition == 1,...forces his daughter to enroll as a pre-med student in college?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3ca1,sa3,2,condition == 1,...is driving along an empty road and sees a woman who is clearly injured; he does not stop to help her?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3au1,sa3,2,condition == 1,...talks loudly and interrupts the mayor's speech to the public?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3sa1,sa3,2,condition == 1,...eats the flesh of a deceased relative as part of a group funeral rite?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3po1,sa3,2,condition == 1,...plays music through his headphones so loudly that other passengers can hear it while on a bus?,Very Unlikely,Very Likely
,submit,,p3_submit_1,,,,Next Question,,
,note,,prompt_li31,li3,1,condition == 1,"Jennifer has done the following: 
- tells her romantic partner that he must convert to her religion
- pressures her daughter to become a famous evening news anchor
- is the leader of a club and bans members from wearing bright colors during club meetings

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Jennifer:",,
,"rating_button 1,7,1",,li3lo1,li3,2,condition == 1,...jokes about the stupidity of people from her home country?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3po1,li3,2,condition == 1,...goes to a birthday party for her friend but does not bring a gift?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3fa1,li3,2,condition == 1,...edges out another person in a long line?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3sa1,li3,2,condition == 1,...eats the flesh of a deceased relative as part of a group funeral rite?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3au1,li3,2,condition == 1,...tries to undermine all of her boss's ideas in front of others?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3li1,li3,2,condition == 1,...imposes a curfew on all members of her immediate family?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3ca1,li3,2,condition == 1,...is driving along an empty road and sees a man who is clearly injured; she does not stop to help him?,Very Unlikely,Very Likely
,submit,,p4_submit_1,,,,Next Question,,
,note,,attention_check_instructions_1,,,condition == 1,This question is solely intended to be an attention check. Please respond by selecting the number 1 for all the prompts below. You may ignore the text preceding the number options. ,,
,"rating_button 1,7,1",,attention_0_1,,,condition == 1,"...takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_1_1,,,condition == 1,...forces his daughter to enroll as a pre-med student in college?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_2_1,,,condition == 1,...has a long and loud conversation with a group of friends during a religious service?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_3_1,,,condition == 1,...spanks his child with a spatula for getting bad grades in school?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_4_1,,,condition == 1,...takes a shortcut on the course during the marathon in order to win?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_5_1,,,condition == 1,"...sells government secrets from his nation to another country; the information is classified, though the sale will not have any negative consequences for people in his home nation?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_6_1,,,condition == 1,...laughs when he realizes his friend's dad is a janitor?,Very Unlikely,Very Likely
,submit,,attention_submit_1,,,condition == 1,Next Question,,
,note,,prompt_lo32,lo3,1,condition == 2,"Steven has done the following: 
- sells government secrets from his nation to another country; the information is classified, though the sale will not have any negative consequences for people in his home nation
- gets a job in a foreign nation where his home country is viewed fairly negatively; in order to fit in among their coworkers, Steven makes critical comments about their home country, though Steven does not believe them
- celebrates with the opposing team's players who just won the game

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Steven:",,
,"rating_button 1,7,1",,lo3ca2,lo3,2,condition == 2,...laughs when he realizes his friend's dad is a janitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,lo3lo2,lo3,2,condition == 2,...leaves his family business to go work for their main competitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,lo3po2,lo3,2,condition == 2,...tries to change the subject of conversation in the middle of his friend's sentence?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,lo3li2,lo3,2,condition == 2,...is the leader of a club and tries to ban the wearing of hooded sweatshirts to club meetings?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,lo3au2,lo3,2,condition == 2,...tries to undermine all of his boss's ideas in front of others?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,lo3fa2,lo3,2,condition == 2,...skips to the front of the line because his friend is an employee?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,lo3sa2,lo3,2,condition == 2,...searches through the trash to find women's discarded underwear?,Very Unlikely,Very Likely
,submit,,p1_submit_2,,,,Next Question,,
,note,,prompt_pd32,pd3,1,condition == 2,"Maria has done the following: 
- sends out an email to other employees at her company, calling their company president an ""idiot""
- hires her nephew for a job, instead of a more qualified applicant
- tries to change the subject of conversation in the middle of her friend's sentence

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Maria:",,
,"rating_button 1,7,1",,pd3fa2,pd3,2,condition == 2,"...requires all her employees to split their bonuses evenly, even though some earn larger bonuses than others?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3li2,pd3,2,condition == 2,...is the leader of a club and tries to ban the wearing of hooded sweatshirts to club meetings?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3sa2,pd3,2,condition == 2,...eats the flesh of a deceased relative as part of a group funeral rite?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3po2,pd3,2,condition == 2,...walks away while her conversation partner is still speaking?,Very Unlikely,Very Likely
